t,ax,ay,az,gx,gy,gz,temp
224,0.076516,0.016738,9.85856,0.006385,-0.003193,0.006385,26.4375
225,0.019129,-0.002391,9.932685,0.008514,0.001064,-0.002128,26.5625
226,0.083689,0.040649,9.939858,0.00745,0.002128,0.001064,26.5625
227,0.023911,0.059778,9.889645,0.00745,0.001064,-0.003193,26.5625
228,0.028693,0.009564,9.853778,0.008514,-0.005321,0.002128,26.3125
229,0.040649,0.040649,9.925511,-0.003193,-0.002128,-0.002128,26.6875
230,-0.004782,0.069342,9.875298,0.002128,0.001064,0.001064,26.5
231,0.031084,0.033476,9.83704,-0.002128,-0.004257,-0.002128,26.625
232,-0.014347,0.038258,9.827476,-0.001064,-0.004257,-0.002128,26.6875
233,0.016738,0.02152,9.896818,0.003193,-0.001064,0.003193,26.6875
234,-0.016738,0.026302,9.794,0.005321,-0.001064,0.00745,26.5625
235,0.035867,0.009564,9.817911,0.005321,0.002128,0.006385,26.5625
236,0.014347,0.071733,9.789218,0.003193,-0.002128,0.003193,26.5
237,0.062169,-0.02152,9.817911,0.005321,0.002128,0.004257,26.625
238,0.071733,-0.016738,9.827476,-0.009578,-0.002128,0.004257,26.3125
239,0.074125,0.011956,9.877689,0.006385,-0.001064,0.002128,26.5
240,0.081298,0.004782,9.925511,0.005321,-0.003193,0.00745,26.4375
241,0.050213,-0.026302,9.856169,0.005321,-0.002128,-0.002128,26.6875
242,0.028693,0.033476,9.9016,0.001064,-0.006385,-0.002128,26.375
243,0,0.02152,9.927902,0.005321,-0.004257,-0.001064,26.3125
244,0.002391,0.031084,9.865733,0.005321,-0.005321,0,26.625
245,-0.002391,0.011956,9.83704,0.00745,0.001064,0.005321,26.4375
246,-0.016738,0.02152,9.896818,0.006385,-0.003193,0.002128,26.25
247,0.078907,0.007173,9.9016,0.005321,-0.002128,-0.001064,26.625
248,0.057387,0.057387,9.813129,0.001064,-0.005321,0,26.6875
249,0.078907,0.026302,9.841822,0.006385,-0.003193,0.002128,26.4375
250,0.06456,0.011956,9.887253,0.005321,0,0.002128,26.5
251,0.066951,0.019129,9.860951,0.00745,-0.004257,0.002128,26.3125
252,0.08608,0.045431,9.844213,0.008514,-0.001064,0.002128,26.5625
253,0.081298,0.026302,9.827476,0.003193,-0.001064,0,26.375
254,0.114773,-0.016738,9.834649,0.006385,-0.002128,0.005321,26.5625
255,0.016738,-0.040649,9.846604,0.008514,-0.006385,-0.005321,26.5625
256,0.136293,0.004782,9.884862,0.00745,-0.003193,0.006385,26.625
257,0.08608,0.054996,9.920729,0.004257,0.001064,-0.003193,26.6875
258,-0.004782,0.054996,9.930293,0.006385,0.002128,-0.005321,26.5
259,0.038258,0.04304,9.903991,0.002128,-0.002128,-0.003193,26.625
260,0.038258,0.045431,9.925511,0.00745,-0.004257,0.006385,26.4375
261,-0.019129,-0.02152,9.911165,0.008514,-0.001064,0.003193,26.4375
262,0.06456,0.100427,9.875298,0.001064,-0.006385,0.004257,26.375
263,-0.019129,0.031084,9.882471,0.010642,-0.001064,0,26.75
264,0.009564,0.04304,9.841822,0.001064,0,0.006385,26.625
265,0.047822,0.062169,9.851387,0.004257,-0.005321,0.005321,26.625
266,-0.002391,0.04304,9.877689,0.002128,-0.001064,-0.002128,26.5
267,0.026302,0.050213,9.83704,0,0.002128,0.004257,26.5625
268,-0.019129,0.019129,9.870516,0.003193,-0.001064,0.005321,26.625
269,0.035867,0.031084,9.789218,0.006385,-0.001064,0.003193,26.5625
270,0.019129,-0.011956,9.794,0.005321,-0.006385,0.003193,26.5
271,0.004782,0.002391,9.860951,0.004257,-0.003193,0.001064,26.5625
272,0.033476,0.011956,9.865733,0.004257,-0.001064,0.004257,26.6875
273,0.007173,0.023911,9.810738,0,-0.001064,-0.001064,26.625
274,0.062169,0.014347,9.810738,0.006385,-0.004257,0,26.5625
275,0.031084,0.031084,9.805956,0.004257,0,-0.001064,26.625
276,0.088471,0.02152,9.88008,0.00745,-0.004257,0.001064,26.5
277,0.059778,0,9.856169,0.006385,0.001064,0.002128,26.4375
278,0.062169,0.004782,9.892036,0.004257,-0.003193,-0.001064,26.6875
279,0.088471,0.02152,9.930293,0.004257,-0.003193,0.005321,26.5
280,0.062169,0.026302,9.870516,0,-0.001064,0.004257,26.375
281,0.050213,-0.02152,9.85856,0.004257,-0.003193,0.005321,26.5625
282,0.047822,0.019129,9.927902,0.006385,-0.003193,0,26.5625
283,0.062169,0.045431,9.848996,0.005321,0.003193,0.002128,26.4375
284,0.078907,0.019129,9.839431,0.010642,-0.001064,0.001064,26.6875
285,0.033476,0.057387,9.930293,0.008514,-0.003193,0.002128,26.5
286,0.02152,-0.016738,9.887253,0.004257,-0.005321,0,26.5625
287,0.033476,0.016738,9.896818,0.005321,0.002128,-0.001064,26.5
288,0.040649,0.028693,9.927902,0.00745,-0.006385,0.003193,26.6875
289,0.023911,0.038258,9.915947,0.008514,-0.003193,0.008514,26.5
290,0.007173,0.038258,9.915947,0.001064,0.003193,-0.003193,26.625
291,-0.026302,0.059778,9.884862,0.002128,-0.001064,-0.001064,26.4375
292,0.014347,0.028693,9.896818,0.006385,-0.002128,0.003193,26.3125
293,0.050213,0.016738,9.856169,0,-0.008514,0.006385,26.625
294,-0.033476,0.026302,9.853778,0.003193,0.003193,0,26.3125
295,-0.014347,0.059778,9.817911,0.001064,0.004257,0.004257,26.5625
296,-0.031084,0.007173,9.798782,-0.004257,0.002128,0.006385,26.6875
297,0.035867,0.038258,9.810738,0.006385,-0.004257,0.002128,26.5625
298,0.026302,0.038258,9.817911,0.003193,-0.003193,-0.002128,26.5
299,-0.031084,0.031084,9.844213,0.001064,0.003193,0.002128,26.8125
300,0.019129,0.035867,9.801173,0.002128,0.002128,0.003193,26.8125
301,0.083689,0.011956,9.889645,0.005321,-0.006385,0.009578,26.5625
302,0.066951,0.040649,9.870516,0.003193,0.002128,0.001064,26.625
303,0.059778,0.040649,9.884862,0.006385,0.002128,0.001064,26.6875
304,0.066951,-0.007173,9.915947,0.00745,-0.001064,0.006385,26.6875
305,0.019129,0.054996,9.887253,0.003193,-0.002128,0.001064,26.5
306,0.06456,0.035867,9.911165,0.005321,-0.005321,-0.005321,26.625
307,0.062169,0.016738,9.868125,0.004257,-0.005321,-0.001064,26.3125
308,0.007173,0.026302,9.906382,0.006385,-0.001064,0.003193,26.75
309,0.040649,-0.014347,9.868125,0.003193,0.002128,0.006385,26.5
310,0.02152,0.066951,9.892036,0.001064,0.004257,0.004257,26.625
311,0.031084,0.04304,9.884862,0.00745,-0.004257,0.002128,26.625
312,0.002391,0.040649,9.853778,0,-0.005321,-0.001064,26.4375
313,-0.007173,0.038258,9.829867,0.001064,-0.006385,0.006385,26.6875
314,0.028693,-0.002391,9.81552,0.003193,-0.001064,0.001064,26.4375
315,0.02152,0.002391,9.841822,0.00745,-0.001064,0.002128,26.5
316,0.069342,0.028693,9.865733,0.003193,-0.001064,-0.005321,26.4375
317,0.076516,0.016738,9.863342,0.005321,0.001064,0.003193,26.6875
318,0.023911,0.014347,9.839431,0.009578,-0.001064,0.004257,26.5625
319,0.093253,0.014347,9.841822,0.002128,-0.002128,-0.001064,26.6875
320,0.105209,0.050213,9.872907,0.003193,0.002128,0.001064,26.3125
321,0.105209,0.007173,9.906382,0.005321,-0.004257,-0.001064,26.4375
322,0.057387,-0.026302,9.920729,0.003193,-0.004257,0.002128,26.5625
323,0.023911,0.050213,9.927902,0.008514,-0.008514,0.002128,26.5625
324,0.028693,0.040649,9.892036,0.005321,-0.005321,0.003193,26.5625
325,0.033476,0.050213,9.911165,0.005321,-0.008514,0.002128,26.5625
326,0,0.04304,9.88008,0.006385,-0.005321,0.002128,26.5
327,-0.028693,0.016738,9.903991,0.001064,-0.002128,-0.003193,26.75
328,-0.009564,0.059778,9.865733,0.008514,-0.008514,-0.001064,26.5625
329,0.019129,0.026302,9.906382,0,-0.00745,0.004257,26.6875
330,0,0.050213,9.817911,0.003193,-0.003193,-0.003193,26.4375
331,0.047822,0.04304,9.848996,0.001064,-0.005321,0.001064,26.5
332,0.035867,0.011956,9.892036,0,-0.004257,0.004257,26.6875
333,0.062169,-0.002391,9.872907,0.005321,-0.005321,0,26.375
334,0.069342,-0.011956,9.906382,0.00745,0.001064,-0.002128,26.625
335,0.052604,0.035867,9.853778,0.003193,-0.005321,0,26.625
336,0.083689,0.02152,9.860951,0.004257,0.001064,0,26.375
337,0.076516,0.023911,9.872907,0.004257,-0.003193,0.004257,26.5
338,0.04304,-0.011956,9.863342,0.005321,-0.004257,0.001064,26.5625
339,0.071733,0.02152,9.892036,0.008514,-0.006385,0.008514,26.6875
340,0.047822,0.007173,9.911165,0.004257,-0.00745,-0.003193,26.5625
341,0.040649,-0.026302,9.899209,0.004257,-0.003193,0.003193,26.6875
342,0.026302,0.028693,9.925511,0.00745,-0.004257,0.009578,26.5
343,0.004782,0.026302,9.870516,-0.001064,-0.004257,-0.001064,26.3125
344,0.007173,0.016738,9.927902,-0.004257,0,0.006385,26.5
345,0.057387,0.026302,9.851387,0.004257,-0.003193,0.002128,26.5625
346,-0.04304,0.040649,9.844213,0.001064,-0.00745,-0.004257,26.3125
347,0.009564,-0.004782,9.884862,-0.002128,0.003193,0.003193,26.625
