t,ax,ay,az,gx,gy,gz,temp
0.24,0.081298,0.004782,9.925511,0.005321,-0.003193,0.00745,26.4375
0.241,0.050213,-0.026302,9.856169,0.005321,-0.002128,-0.002128,26.6875
0.242,0.028693,0.033476,9.9016,0.001064,-0.006385,-0.002128,26.375
0.243,0,0.02152,9.927902,0.005321,-0.004257,-0.001064,26.3125
0.244,0.002391,0.031084,9.865733,0.005321,-0.005321,0,26.625
0.245,-0.002391,0.011956,9.83704,0.00745,0.001064,0.005321,26.4375
0.246,-0.016738,0.02152,9.896818,0.006385,-0.003193,0.002128,26.25
0.247,0.078907,0.007173,9.9016,0.005321,-0.002128,-0.001064,26.625
0.248,0.057387,0.057387,9.813129,0.001064,-0.005321,0,26.6875
0.249,0.078907,0.026302,9.841822,0.006385,-0.003193,0.002128,26.4375
0.25,0.06456,0.011956,9.887253,0.005321,0,0.002128,26.5
0.251,0.066951,0.019129,9.860951,0.00745,-0.004257,0.002128,26.3125
0.252,0.08608,0.045431,9.844213,0.008514,-0.001064,0.002128,26.5625
0.253,0.081298,0.026302,9.827476,0.003193,-0.001064,0,26.375
0.254,0.114773,-0.016738,9.834649,0.006385,-0.002128,0.005321,26.5625
0.255,0.016738,-0.040649,9.846604,0.008514,-0.006385,-0.005321,26.5625
0.256,0.136293,0.004782,9.884862,0.00745,-0.003193,0.006385,26.625
0.257,0.08608,0.054996,9.920729,0.004257,0.001064,-0.003193,26.6875
0.258,-0.004782,0.054996,9.930293,0.006385,0.002128,-0.005321,26.5
0.259,0.038258,0.04304,9.903991,0.002128,-0.002128,-0.003193,26.625
0.26,0.038258,0.045431,9.925511,0.00745,-0.004257,0.006385,26.4375
0.261,-0.019129,-0.02152,9.911165,0.008514,-0.001064,0.003193,26.4375
0.262,0.06456,0.100427,9.875298,0.001064,-0.006385,0.004257,26.375
0.263,-0.019129,0.031084,9.882471,0.010642,-0.001064,0,26.75
0.264,0.009564,0.04304,9.841822,0.001064,0,0.006385,26.625
0.265,0.047822,0.062169,9.851387,0.004257,-0.005321,0.005321,26.625
0.266,-0.002391,0.04304,9.877689,0.002128,-0.001064,-0.002128,26.5
0.267,0.026302,0.050213,9.83704,0,0.002128,0.004257,26.5625
0.268,-0.019129,0.019129,9.870516,0.003193,-0.001064,0.005321,26.625
0.269,0.035867,0.031084,9.789218,0.006385,-0.001064,0.003193,26.5625
0.27,0.019129,-0.011956,9.794,0.005321,-0.006385,0.003193,26.5
0.271,0.004782,0.002391,9.860951,0.004257,-0.003193,0.001064,26.5625
0.272,0.033476,0.011956,9.865733,0.004257,-0.001064,0.004257,26.6875
0.273,0.007173,0.023911,9.810738,0,-0.001064,-0.001064,26.625
0.274,0.062169,0.014347,9.810738,0.006385,-0.004257,0,26.5625
0.275,0.031084,0.031084,9.805956,0.004257,0,-0.001064,26.625
0.276,0.088471,0.02152,9.88008,0.00745,-0.004257,0.001064,26.5
0.277,0.059778,0,9.856169,0.006385,0.001064,0.002128,26.4375
0.278,0.062169,0.004782,9.892036,0.004257,-0.003193,-0.001064,26.6875
0.279,0.088471,0.02152,9.930293,0.004257,-0.003193,0.005321,26.5
0.28,0.062169,0.026302,9.870516,0,-0.001064,0.004257,26.375
0.281,0.050213,-0.02152,9.85856,0.004257,-0.003193,0.005321,26.5625
0.282,0.047822,0.019129,9.927902,0.006385,-0.003193,0,26.5625
0.283,0.062169,0.045431,9.848996,0.005321,0.003193,0.002128,26.4375
0.284,0.078907,0.019129,9.839431,0.010642,-0.001064,0.001064,26.6875
0.285,0.033476,0.057387,9.930293,0.008514,-0.003193,0.002128,26.5
0.286,0.02152,-0.016738,9.887253,0.004257,-0.005321,0,26.5625
0.287,0.033476,0.016738,9.896818,0.005321,0.002128,-0.001064,26.5
0.288,0.040649,0.028693,9.927902,0.00745,-0.006385,0.003193,26.6875
0.289,0.023911,0.038258,9.915947,0.008514,-0.003193,0.008514,26.5
0.29,0.007173,0.038258,9.915947,0.001064,0.003193,-0.003193,26.625
0.291,-0.026302,0.059778,9.884862,0.002128,-0.001064,-0.001064,26.4375
0.292,0.014347,0.028693,9.896818,0.006385,-0.002128,0.003193,26.3125
0.293,0.050213,0.016738,9.856169,0,-0.008514,0.006385,26.625
